raw_character_text,Laura_annotation,Serhii_annotation,Rosaleen_annotation,spoken_words
C. Montgomery Burns,power_wealth_authority,quirky_humor_everyday,,"/ SEE MY VEST, SEE MY VEST / MADE FROM REAL GORILLA CHEST / FEEL THIS SWEATER, THERE'S NO BETTER / THAN AUTHENTIC IRISH SETTER... / SEE THIS HAT, T'WAS MY CAT / MY EVENING WEAR, A VAMPIRE BAT / THESE WHITE SLIPPERS ARE ALBINO / AFRICAN ENDANGERED RHINO... / GRIZZLY BEAR UNDERWEAR / TURTLES NECKS, I'VE GOT MY SHARE / BERET OF POODLE ON MY NOODLE, / IT SHALL REST... / TRY MY RED ROBIN SUIT / IT COMES ONE BREAST OR TWO... / SEE MY VEST, SEE MY VEST, SEE MY VEST / / LIKE... MY... LOAFERS? / FORMER... GOPHERS... / IT WAS THAT OR / SKIN MY CHAUFFEURS"
C. Montgomery Burns,power_wealth_authority,family_romance_loneliness,,"Simpson, I am by most measures a successful man. I have wealth and power beyond the dreams of you and your clock-punching ilk. And yet, I've led a solitary life. The fair sex remains a mystery to me. You seem to have a way with women, a certain... how shall I put it? Animal magnetisme. Help me, Simpson. Tell me your secret."
C. Montgomery Burns,morality_religion_values,morality_religion_values,,"Mmm-hmm. If you can take advantage of a situation in some way, it's your duty as an American to do it. Why should the race always be to the swift or the Jumble to the quick-witted? Should they be allowed to win merely because of the gifts God gave them? Well, I say, cheating is the gift Man gives himself."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Oh. I'm afraid I've had one of my trademark changes of heart. You see, teamwork will only take you so far, then the truly evolved person makes that extra grab for personal glory. Now, I must discard my teammates, much like the boxer must shed roll after roll of sweaty, useless, disgusting flab before he can win the title. Ta!"
C. Montgomery Burns,self_deprecation_insecurity,crime_danger_violence,,"Well, if it's a crime to love one's country, then I'm guilty. And if it's a crime to steal a trillion dollars from our government and hand it over to communist Cuba, then I'm guilty of that, too. And if it's a crime to bribe a jury, then so help me, I'll soon be guilty of that!"
C. Montgomery Burns,self_deprecation_insecurity,work_role_management,,"All right, you rag-tag bunch of misfits. You hate me, and I hate you even more. But without my beloved ringers, you're all I've got. So I want you to remember some inspiring things that someone else may have told you in the course of your lives, and go out there and win!"
C. Montgomery Burns,self_deprecation_insecurity,self_deprecation_insecurity,,"Uh, I'll field that question. A lifetime of working in a nuclear power plant has given me a healthy green glow and left me as impotent as a Nevada boxing commissioner. And now that I'm back to normal, I don't bring you peace and love. I bring you fear, famine, pestilence, and..."
C. Montgomery Burns,power_wealth_authority,work_role_management,,"You know Smithers, I've always despised the laziness of the common worker. Then I realized his spirit was willing, but the flesh was weak. So I replaced the flesh -- which is weak -- with steel, which is strong. Behold, the greatest breakthrough in labor relations since the cat o' nine tails."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Oooh, a tough question, but a fair one. Lisa, there's no single answer. Some voters respond to my integrity. Others are more impressed with my incorruptibility... still others by my determination to lower taxes, and the bureaucrats in the state capital can put that in their pipes and smoke it."
C. Montgomery Burns,power_wealth_authority,quirky_humor_everyday,,"Smithers, there's no way I can lose this bet. Unless, of course, my nine all-stars fall victim to nine separate misfortunes and are unable to play tomorrow. But that will never happen. Three misfortunes, that's possible. Seven misfortunes, there's an outside chance. But nine misfortunes... I'd like to see that."
