tag,quote
LEI,"/ SEE MY VEST, SEE MY VEST / MADE FROM REAL GORILLA CHEST / FEEL THIS SWEATER, THERE'S NO BETTER / THAN AUTHENTIC IRISH SETTER... / SEE THIS HAT, T'WAS MY CAT / MY EVENING WEAR, A VAMPIRE BAT / THESE WHITE SLIPPERS ARE ALBINO / AFRICAN ENDANGERED RHINO... / GRIZZLY BEAR UNDERWEAR / TURTLES NECKS, I'VE GOT MY SHARE / BERET OF POODLE ON MY NOODLE, / IT SHALL REST... / TRY MY RED ROBIN SUIT / IT COMES ONE BREAST OR TWO... / SEE MY VEST, SEE MY VEST, SEE MY VEST / / LIKE... MY... LOAFERS? / FORMER... GOPHERS... / IT WAS THAT OR / SKIN MY CHAUFFEURS"
PER,"Simpson, I am by most measures a successful man. I have wealth and power beyond the dreams of you and your clock-punching ilk. And yet, I've led a solitary life. The fair sex remains a mystery to me. You seem to have a way with women, a certain... how shall I put it? Animal magnetisme. Help me, Simpson. Tell me your secret."
REL,"Mmm-hmm. If you can take advantage of a situation in some way, it's your duty as an American to do it. Why should the race always be to the swift or the Jumble to the quick-witted? Should they be allowed to win merely because of the gifts God gave them? Well, I say, cheating is the gift Man gives himself."
PER,"Oh. I'm afraid I've had one of my trademark changes of heart. You see, teamwork will only take you so far, then the truly evolved person makes that extra grab for personal glory. Now, I must discard my teammates, much like the boxer must shed roll after roll of sweaty, useless, disgusting flab before he can win the title. Ta!"
CON,"Well, if it's a crime to love one's country, then I'm guilty. And if it's a crime to steal a trillion dollars from our government and hand it over to communist Cuba, then I'm guilty of that, too. And if it's a crime to bribe a jury, then so help me, I'll soon be guilty of that!"
WRK,"All right, you rag-tag bunch of misfits. You hate me, and I hate you even more. But without my beloved ringers, you're all I've got. So I want you to remember some inspiring things that someone else may have told you in the course of your lives, and go out there and win!"
CON,"Uh, I'll field that question. A lifetime of working in a nuclear power plant has given me a healthy green glow and left me as impotent as a Nevada boxing commissioner. And now that I'm back to normal, I don't bring you peace and love. I bring you fear, famine, pestilence, and..."
WRK,"You know Smithers, I've always despised the laziness of the common worker. Then I realized his spirit was willing, but the flesh was weak. So I replaced the flesh -- which is weak -- with steel, which is strong. Behold, the greatest breakthrough in labor relations since the cat o' nine tails."
COM,"Oooh, a tough question, but a fair one. Lisa, there's no single answer. Some voters respond to my integrity. Others are more impressed with my incorruptibility... still others by my determination to lower taxes, and the bureaucrats in the state capital can put that in their pipes and smoke it."
ECO,"Smithers, there's no way I can lose this bet. Unless, of course, my nine all-stars fall victim to nine separate misfortunes and are unable to play tomorrow. But that will never happen. Three misfortunes, that's possible. Seven misfortunes, there's an outside chance. But nine misfortunes... I'd like to see that."
WRK,"Huh? What? And by that I mean, of course, it's time for the Worker of the Week Award. I can't believe we've overlooked this week's winner for so very very long. We simply could not function without his tireless efforts. So, a round of applause for... this inanimate carbon rod."
WRK,"Before you begin, let me make one thing clear to you. I want your legal advice. I even pay for it. But to me you're all vipers. You live on personal injury. You live on divorces. You live on pain and misery...... but I'm rambling. Anybody want any coffee?"
LEI,"IT'S A HIGH TO BE LOA-THED! / CHUCKY, STALIN, MEGATRON / ERIC CARTMAN, DONKEY KONG / VADER, NADER, SIMON LEGREE / TERMINATORS ONE, TWO AND THREE / IAGO, JOKER, VOLDEMORT / MCENROE ON CENTER COURT / MR. BURNS AND SKELETOR / KEEP YOUR GOOD GUYS, WHAT A SNORE"
PER,ONCE I BUILT A RAILROAD / MADE IT RUN / MADE IT RACE AGAINST TIME/ ONCE I BUILT A RAILROAD / NOW IT'S DONE / BROTHER CAN YOU SPARE A DIME./ HALF A MILLION BOOTS WENT SLOGGING THROUGH HELL / I WAS THE KID WITH THE DRUM.
ECO,"I'll keep it short and sweet. Family, religion, friendship: these are the three demons you must slay if you wish to succeed in business. When opportunity knocks, you don't want to be driving to the maternity hospital or sitting in some phony baloney church. Or synagogue. Questions?"
REL,"Oh, so Mother Nature needs a favor? Well, maybe she should have thought of that when she was besetting us with droughts and floods and poison monkeys. Nature started the fight for survival and now she wants to quit because she's losing? Well, I say ""hard cheese!"""
FAM,"""All I lost was money?"" Let me make one thing perfectly clear -- our dalliance meant nothing to me! You were but a sprig of parsley garnishing my beefsteak, and now I cast you aside for the busboys to gnaw upon! Consider this ill-conceived affair terminated!"
COM,"The truth is this fish is a miracle of nature with a taste that can't be beat. Mmmm mmmm. So, to summarize: Say what you want about me. I can take the slings and arrows. But stop slandering poor, defenseless Blinky. Good night and God bless."
PER,"No, Homer. You've already done more for me than any man. Your brutal attack forced me to fend for myself. I realize now that being waited on hand and foot is okay for your average Joe, but it's not for me. I want to thank you."
ECO,"Beatles, eh? Oh, yes. I seem to remember their off-key caterwauling on the old Sullivan show. What was he thinking? Mrs. Simpson, this commission and all its glory can be yours, but first you must look me straight in the eye and answer one simple question."
WRK,"Shut up, Smithers. Can't you see what he's saying? A happy worker is a busy worker. Three cents worth of tartar sauce could save us thousands of man-hours in labor. I like the cut of your jib, Simpson. Let the fools have their tar-tar sauce!"
CON,"Well... all right, then. I don't want to seem like an ogre. I'll bide my time. Let him twist in the wind... slowly... slowly. And then... when the papers have found their new ""flavor of the month"", he'll find out this cat has claws!"
ECO,"Smithers, do you realize, if I had died there would be no one to carry on my legacy? Due to my hectic schedule and lethargic sperm, I never fathered an heir. Now I have no one to leave my enormous fortune to. No one."
WRK,"A plant employee carrying on like an oversexed orangutan in heat! This is a family nuclear-power plant, Simpson. Our research indicates that over 50 percent of our power is used by women. I will not have you offending my customers with your bawdy shenanigans!"
ECO,"Think of the economy as a car and the rich man as the driver. If you don't give the driver all the money, he'll drive you over a cliff. It's just common sense. Furthermore, rich people feel things more deeply than the common man."
WRK,"Yes, thank you, everyone. But -- 10% of your applause should go to my little partner, Lisa Simpson. For if it were not for her infectious moralizing, we would not be here today to witness the unveiling of... The Li'l Lisa Recycling Plant!"
FAM,"Who should appear but the unrequited love of my college years, Mimsy Bancroft...Of course, by then Mimsy had her share of wrinkles and a gray hair or two, but my adoring eyes saw past those minor imperfections to her 21-year-old daughter, Lily."
