tag,quote
REL,"Why me, Lord? Where have I gone wrong? I've always been nice to people. I don't drink or dance or swear. I've even kept kosher, just to be on the safe side. I've done everything the Bible says, even the stuff that contradicts the other stuff. What more could I do? I... I feel like I'm coming apart here. I want to yell out, but I... I... I just can't dang-diddily-do-dang-do-don-diddily-darn-do it. I... I...I..."
REL,"Lord, I never question you... but I've been wondering if your decision to take Maude was, well, wrong... Unless this is part of your divine plan... Could you just give me some kinda sign? Anything? And after all that church chocolate I bought. Which, by the way, was gritty and had that white stuff on it. Well, I've had it."
FAM,"No, that's not true. I... I... I don't like the service at the post office. Y'know, it's all rush, rush, get you in, get you out. Then, they've got those machines in the lobby. They're even faster. No help there. You might even say I hate the post office. That, and my parents. Lousy beatniks! Hey, that felt good!"
REL,"""...lest I come and strike the earth with a curse."" Thus ends the book of Malachi. I guess I did know the whole Old Testament by heart. Out with the old... in with the new. Testament, that is. Matthew One. ""The book of the genealogy of Jesus Christ, the son of David, the son of Abraham..."""
REL,"And Lord, thank you for letting me see this wonderful place where the end of the world will soon begin. And thank you, again, for the challenge of Homer Simpson... we've all got our crosses to bear. Me Homer, you the cross. And now, let me gaze with reverence upon the holy resting place of..."
PER,"Homer, I'm in a rhubarb of a pickle of a jam here. I was all set to go off on vacation, when I get called up for jury duty. Oh, it's a corker of a case -- seems a man drove up onto a traffic island and hit a decorative rowboat full of geraniums."
LEI,Scared of what? All the funny camp songs we're gonna sing? WE'LL BE SAFE INSIDE OUR FORTRESS WHEN THEY COME / WE'LL BE SAFE FROM CREEPS AND KILLERS WHEN THEY COME / UNLESS THEY HAVE A BLOWTORCH / OR A POISON GAS INJECTOR / THEN I DON'T KNOW WHAT'LL HAPPEN WHEN THEY COME!
REL,"Homer, I've got a fozzie of a bear of a problem. Y'know, Maude and her mother were visiting Tyre and Sidon, the twin cities of the Holy Land. They must've kneeled in the wrong place and prayed to the wrong God, because, well, they're being held prisoner by militants of some sort."
FAM,"Wordplay: never cared for it. But it's never too soon for you two to join the ""I do"" crew. Now I'm not sayin' it's all Jell-O with Cool Whip. She'll nag ya. She'll try to change ya. You'll be fighting the same basic fight for years and years and years--"
FAM,"Homer, listen to me. For a long time now I've been lookin' over the fence at that wonderful relationship you have with Marge. Then I remember what it was like to have a sweet woman of my own lying in a twin bed across the hall from mine."
PER,"Ohhh. I wanted to subscribe to that new Arts and Crafts Channel. Well, sir, they send over this flimflam man to install it, and do you know what he did? He offered to hook me up illegally to every cable channel for only fifty bucks."
REL,"""So God blessed Noah and his sons, and said to them... Never again shall there be a flood to destroy the Earth. I set My rainbow in the cloud, and it shall be a sign of the covenant between God and man."" Thank you."
REL,"Well, sir, if you ask me, somebody up there is trying to tell you that whatever flat tires you've got in your life, God's there, with His little spare, that enables you to drive real slow till you get to the next station."
FAM,"You get my boys tattoos, you change their school, you buy Rod sneakers that light up like Times Square...shoes are shoes and lights are lights! Now, just when do I get a say in how my boys are raised?! This marriage isn't perfect!"
