spoken_words,round1_raw_open_code,round2_refined_code,round3_axial_cluster,round4_final_topic
"Hmmm. Well, perhaps I ought to let you folks in on a secret. Do you remember me telling Jimbo Jones that I'd make something of him one day?",miscellaneous,other,other,COM
"Time for a head count. Children, line up according to height... no, weight... no, the sum total of the letters in your last names if each letter is assigned a numeric value according to its place in the alphabet! Quickly now!",miscellaneous,other,other,COM
I LIVE ME IN A MANSION / FULL OF THOSE GRECIAN URNS / BUT I'M LONELY ALL THE LIVE-LONG DAY / THAT'S THE BLUES OF MONTY BURNS,self-reflection / feelings,inner-life,self/identity,PER
"Uh-oh. Two independent thought alarms in one day. The students are over stimulated. Willie, remove all the colored chalk from the classrooms.",miscellaneous,other,other,COM
"Oh, so extortion is the name of your little game, is it Simpson? Very well. Then you get nothing. I have the finest lawyers in Springfield, Simpson. Tangle with me and I'll crush you like a paper cup.",family reference,family,family/relationships,FAM
"Yes, thank you, everyone. But -- 10% of your applause should go to my little partner, Lisa Simpson. For if it were not for her infectious moralizing, we would not be here today to witness the unveiling of... The Li'l Lisa Recycling Plant!",family reference,family,family/relationships,FAM
"Friends, what Homer did was wrong. But I've been thinking -- maybe I was just as wrong to give you those gifts.",miscellaneous,other,other,COM
"It's time for this peacock to show his feathers. You know, the feathers with the big eye that trick them into thinking that's my front? Said feathers are what I'll flaunt!",miscellaneous,other,other,COM
"I know Weinstein's parents were upset, Superintendent, but, but ah, I was sure it was a phony excuse. I mean, it sounds so made up: ""Yom Kip-pur?""",miscellaneous,other,other,COM
"Now then, I'm looking for a suitable young, male heir to leave my fortune to when I pass away. My vast, vast, vast fortune. Vast.",money / wealth,economics,economic/material,ECO
"Now, in case all that smilin' didn't cheer ya up, there's one thing that never fails. A nice glass of warm milk, a little nap, and a total frontal lobotomy.",violence / threat,conflict,conflict/risk,CON
"Simpson, I worked here for three-score and twain. That's sixty-two years in the ""New English"". Now, come with me, I want to show you something.",family reference,family,family/relationships,FAM
"I don't understand. She was my young, sexy fianc̩e, he was my sexually virile best friend, and they just drove off in my Bugatti Sexarossa. How could this ever have happened?",miscellaneous,other,other,COM
"Now, Mr. Rude, I just want you to know I'm a good sport. If you want to make fun of my legendary love of cashews, you have at it.",self-reflection / feelings,inner-life,self/identity,PER
"This is a proud day. Now, when people ask if we're in compliance with the Americans with Disabilities Act of 1975, I can say, ""We are closer than ever before!""",community / society,community,community/society,COM
"You betcha! In fact, some parents have been known to hold ""pox parties,"" so other kids in the neighborhood can get the disease when they please.",community / society,community,community/society,COM
"Oh, very much so, but as long as we handle this in a mature and, above all, quiet manner, we'll still get that grant money. Oh, you really scared me there.",money / wealth,economics,economic/material,ECO
She's right. We thought we could enter the den of sin and emerge unscathed. But we were scathed! Those free ginger ales at the casino... I didn't declare them on my taxes!,religion / morality,religion,religion/morals,REL
"Ahoy there, Dean! I understand you're taking suggestions from students, eh? Well, me and my Fourth Form chums think it would be quite ""corking"" if you'd sign over your oil well to the local energy concern!",miscellaneous,other,other,COM
"What? What are you talking about? Clearly make sense, man. I can't understand a word you're saying. You're just babbling incoherently like some sort of...",miscellaneous,other,other,COM
Oh our courts aren't fit to keep children in line. The only thing they're good for is telling women what to do with their bodies. What these boys need is adult supervision.,miscellaneous,other,other,COM
"Now, that's your third helping, young man. It's making you fat and soft... and tender. Hmmm... Uh, you just cut in line, didn't you? Report to detention, Uter.",miscellaneous,other,other,COM
"Capital idea! Let's blow this fascist popsicle stand. We'll purchase a small island somewhere and start our own country, free from the relentless tyranny of Uncle Sam.",miscellaneous,other,other,COM
"Name's Ned Flanders, credits include Jesus in the passion play last year, Jesus in the passion play the year before that, Jesus, Jesus, a kindly hobo who turns out to be -- you guessed it, St. Peter...",religion / morality,religion,religion/morals,REL
"Lisa, Lisa... go home, relax, try to do some kid things. You know, with a ball or something... or decorate your sneakers with a ""Magic""-brand marker.",miscellaneous,other,other,COM
