raw_character_text,tag,spoken_words
Seymour Skinner,nostalgia_and_storytelling,"Once. But by the time I got to a phone, my discovery had already been reported by Principal Kohoutek. I got back at him though. Him and that little boy of his. Anyway... that's why I always keep a cellular phone next to me. Now, this morning we're gonna be mapping a small square of sky that's thought to be empty. It's my hope that it's not."
Seymour Skinner,nostalgia_and_storytelling,"But our momentary lapse of concentration allowed ""Charlie"" to get the drop on us. I spent the next three years in a POW camp, forced to subsist on a thin stew made of fish, vegetables, prawns, coconut milk and four kinds of rice. I came close to madness trying to find it here in the States, but they just can't get the spices right..."
Seymour Skinner,nostalgia_and_storytelling,"Well, perhaps I was being a tad glib. Let me explain. Our elementary school participates in a foreign exchange program. Now normally, a student is selected on the basis of academic excellence or intelligence, but in Bart's case I'm prepared to make a big exception. And, if you're willing to play along, he can spend the next three months studying far, far away."
Seymour Skinner,nostalgia_and_storytelling,"For the next week I stayed alive by eating my mother's delicious preserves and maintained my sanity by dribbling a nearby basketball with my one free hand. I made a game of it, seeing how many times I could bounce the ball in a day, then trying to break that record. Occasionally the police arrived to search my home."
Seymour Skinner,nostalgia_and_storytelling,"Children, the times, they are a-becoming quite different. Test scores are at an all time low. So I've come up with these ""Academic Alerts."" You will receive one as soon as your grades start to slip in any subject. This way, your parents won't have to wait until report card time to punish you."
Seymour Skinner,self_deprecation_insecurity,"I've never been happier or prouder to be Seymour Skinner. But these last few days as that hot-headed rogue Armin Tamzarian have taught me a thing or two. You know, maybe I've been a little too ""uptight"" in the past. Well, from now on you're gonna to see a new Seymour Skinner--"
Seymour Skinner,nostalgia_and_storytelling,"As you recall these stickers came from last year's field trip to the ""sign here"" sticker factory. But thanks to my old navy buddy -- we both love to shop at Old Navy...the students of this school will be taking a ride on a nuclear-powered, attack-class submarine -- the U.S.S. Tom Clancy!"
Seymour Skinner,work_role_management,"Well, you're in for a whale of a show tonight. I'd like to point out that the doors are now locked, so you parents can't sneak out of the show after your own child has performed. Oh, and let me caution the people in the first five rows, you will get wet."
Seymour Skinner,morality_religion_values,"You may find his accent peculiar. Certain aspects of his culture may seem absurd, perhaps even offensive. But I urge you all to give little Adil the benefit of the doubt. In this way, and only in this way, can we hope to better understand our backward neighbors throughout the world."
Seymour Skinner,self_deprecation_insecurity,"Young lady, cow hearts belong in a butcher's window, not the classroom. Well, maybe in an older student's biology classroom, but that's none of my business. Elementary school is where I wound up and it's too late to do anything about that. Frankly, I'm starting to regret skipping you ahead."
Seymour Skinner,work_role_management,"Now as you all know, Springfield's 200th birthday is only a week away. Every class will do its part to make our local bicentennial just as memorable as our National Bicentennial. Of course, you children are too young to remember that -- with the possible exception of Kearney."
Seymour Skinner,work_role_management,"Good morning class. A certain agitator -- for privacy's sake let's call her Lisa S. -- No, that's too obvious. Uh, let's say L. Simpson -- has raised questions about certain school policies. So in the interest of creating an open dialogue, sit silently and watch this film."
Seymour Skinner,crime_danger_violence,"Yes, indeed there is. There's an inflatable bath pillow that mother and I both enjoy. She claimed it was her day to use it. I maintain she was mistaken. We quarreled. Later, as I prepared to bathe, I noticed to my horror, that ""someone"" had slashed the pillow."
Seymour Skinner,work_role_management,"Attention students. It's time once again to choose a gym class for the coming term. So let's all prove how adult we can be by filing to the gym in a calm and orderly manner. Even though it's first-come first-serve, and the most popular sports fill up fast."
Seymour Skinner,nostalgia_and_storytelling,"The year was 1968. We were on re-con in a steaming Mekong delta. An overheated private removed his flak jacket, revealing a T-shirt with an iron-on sporting the Mad slogan, ""UP WITH MINI-SKIRTS."" Well, we all had a good laugh, even though I didn't quite understand it."
Seymour Skinner,nostalgia_and_storytelling,"The 2nd Battle of Springfield was fought by the North...the South...and the East...to keep Springfield in, out of, and next to the Union, respectively. Now, the actual battle was fought over there, where that man is standing. But he won't move, so we'll do it here."
Seymour Skinner,nostalgia_and_storytelling,"The order flourished, never forgetting its sacred mission. But word about the gem got out...and a group of high-ranking Freemasons, led by Benjamin Franklin, George Washington, and King George the Third, staged a phony war of ""independence"" to cover their search for the gem."
Seymour Skinner,work_role_management,"Oh relax, kids. I've got a gut feeling Uter's around here somewhere. After all, isn't there a little Uter in all of us? In fact, you might even say we just ate Uter and he's in our stomachs right now. Wait. Scratch that."
Seymour Skinner,nostalgia_and_storytelling,"But it wasn't clouds and angels playing harps like at the end of so many Three Stooges shorts. It was a golden elementary school, with a teacher's lounge that stretched as far as the eye could see. And no one was ever tardy."
Seymour Skinner,morality_religion_values,"I'm afraid this time the victims are the innocent blades of grass on Groundskeeper Willie's award-winning play field. If it's all right with you, Bart will repay his debt to society through back-breaking physical labor, re-sodding the field manually, seed by seed."
Seymour Skinner,morality_religion_values,"""Dear Bart, your friendship during this difficult time will not be forgotten. However, I've decided to return to the only thing besides school that has ever given my life meaning -- I've re-enlisted in the United States Army. Sincerely, Sgt. Seymour Skinner."""
Seymour Skinner,crime_danger_violence,"Yeah sure, and they told me I'd get a big parade when I got back from 'Nam. Instead they spat on me. I can still feel it searing. So, now let's just see what the permanent record has to say, shall we?"
Seymour Skinner,self_deprecation_insecurity,"Mmm-hmm, it's Mr. Skinner now. I'm just a man. Bart, I want to apologize for the awkward position Edna and I put you in. Your... your help made our love possible. I don't know what we'll do without you. Well, so long."
Seymour Skinner,work_role_management,"Time for a head count. Children, line up according to height... no, weight... no, the sum total of the letters in your last names if each letter is assigned a numeric value according to its place in the alphabet! Quickly now!"
Seymour Skinner,nostalgia_and_storytelling,"Well, maybe it was for the best. Now I... I finally have time to do what I've always wanted: write the Great American Novel. Mine is about a futuristic amusement park where dinosaurs are brought to life through advanced cloning techniques!"
Seymour Skinner,nostalgia_and_storytelling,"Well, this party is certainly a break in my routine. You know, normally I spend my Saturdays carefully laying out my clothes for the following week, and then I stroll down to the car wash to see if Gus is there..."
Seymour Skinner,work_role_management,I'm delighted to report that your grade brought the entire school's GPA up to our state's minimum standard. We now qualify for a Basic Assistance Grant. It's the greatest honor the school has ever received! And it's all thanks to you.
Seymour Skinner,work_role_management,"People let's have good assembly manners. People, people. Quiet down, now, please. Don't make me flick the lights on and off. Thank you. Ladies, gentlemen, parents and music lovers. Welcome to the first in a series of Saturday evening concerts."
Seymour Skinner,work_role_management,"That photo was taken shortly before I was shot in the back ... Which was very strange, because it was during a Bob Hope show. I was trying to get Joey Heatherton to put on some pants for God's sake."
Seymour Skinner,work_role_management,"By itself something like this might not call for an extreme penalty...but this is not an isolated incident. Bart's behavior is unruly. He's frequently absent from school, then gives teachers pathetic excuse notes...that are obviously childish forgeries when compared to..."
Seymour Skinner,power_wealth_authority,"Today, Springfield Elementary embarks on a new era: an era of unbridled spending where petro-dollars will fuel our wildest educational fantasies. These young minds will enjoy every academic advantage... ...until they enter Springfield High School, which has no oil well."
Seymour Skinner,power_wealth_authority,"And finally, the bake sale to raise money for the car wash has been canceled, due to confusion. Well, that concludes this morning's announcements. I'm Seymour Skinner and stand by to resume learning in five, four, three, two, one..."
Seymour Skinner,self_deprecation_insecurity,"I'm afraid there are some problems with my tickets. I asked for a center seat, not an aisle seat. I specifically requested not to have the kosher meal. And I booked the flight leaving Saturday morning, not Friday morning!"
Seymour Skinner,nostalgia_and_storytelling,"Yeah. As for me, I was born and bred here in the mean streets of ""N'Awlins."" Oh, sure, I left briefly to take that principal's job in Springfield, but in my heart I... I've always been a small-time hustler."
Seymour Skinner,work_role_management,"Attention. This is Principal Skinner, your principal, with a message from the principal's office. All students please proceed immediately to an assembly in the Butthead Memorial Auditorium. Dammit I wish we hadn't let the students name that one."
Seymour Skinner,power_wealth_authority,"I'm afraid once a youth court has been demanded, we are legally obligated to shut down mob rule, as decided in the case of ""Rubber v. Glue"" and reaffirmed by ""I Know You Are v. What Am I."""
Seymour Skinner,work_role_management,Let me explain this to you in terms even the simplest will understand. We're hiding you in Capital City for the day so your numb-skullery won't drag down the test scores of the children who are our future.
Seymour Skinner,work_role_management,"Are you mad, Brunella? You can't fail Lisa. She's the only child keeping this school accredited. Without her, we'd have to release these children back into the forest. So let's just turn that minus into a plus..."
Seymour Skinner,nostalgia_and_storytelling,"I formed a crude rocket from a discarded cigar tube. And remembering an experiment from my days as a fourth grade science teacher, I concocted a fuel from baking soda and the juice of discarded lemon wedges."
Seymour Skinner,family_romance_loneliness,"Ooh, this game is gonna get some disapproving clucks. But for now I need my tongue to talk to you. I don't want to lose Edna, so I need you to sabotage her chances of winning tonight."
Seymour Skinner,nostalgia_and_storytelling,"""...and so, Lucinda placed the fifth shard in the stained-glass window, which now clearly read: 'your parents are alive.' Gregor turned to his twin sister and they both understood: their journey was just beginning. The end."""
Seymour Skinner,self_deprecation_insecurity,"Well, I could send it back to Taiwan for repair, but why should I have to? I've done nothing wrong. And I don't give permission for my face to be on TV. I want it blurred."
