raw_character_text,spoken_words
C. Montgomery Burns,"Absolutely not! No quack sawbones is going to apply his leeches to me! As long as there's an ounce of strength left in me, I..."
C. Montgomery Burns,"Smithers, don't feel so bad. After all, that kidney you donated to me really hit the spot."
C. Montgomery Burns,"Smithers, I'm not going to make it. I want to dictate... my epitaph."
C. Montgomery Burns,"""O Tyrant Hear His Mighty Name And QUAKE!!"" Smithers, I'm back!"
C. Montgomery Burns,"Oh, top o' the mornin' to ye! Why, look who's here! It's good old... you!"
C. Montgomery Burns,"Oh, hey, there, Mr... Brown Shoes! How about that local sports team? Hm?"
C. Montgomery Burns,"Smithers, I'm back in the pink! Full of pith and vinegar!"
C. Montgomery Burns,"You know, it's funny, Smithers. I tried every tincture and poultice and tonic and patent medicine there is. And all I really needed was the blood of a young boy. By the way, what was the lad's name?"
C. Montgomery Burns,"Well, the Simpsons will be getting a very nice surprise in the mail. Very nice, indeed."
C. Montgomery Burns,I want the whole world to hear the story of my harrowing struggle with hypohemia.
C. Montgomery Burns,"Well, Countess Van Zeplin and I... What in blaze... Now you listen to me, you bargain basement Baudelaire. I'm not some dizzy starlet who can't string two words together. I can write this thing myself. You're fired."
C. Montgomery Burns,"""Chapter the Fifth... A Trip to the Infirmary, With Most Unexpected Results."""
C. Montgomery Burns,"Oh, don't be frightened of this. It's nothing but a letter opener. Who are you?"
C. Montgomery Burns,"Hello, there's more. ""In case you can't tell, I'm being sarcastic..."""
C. Montgomery Burns,"""...you stink, you are a senile, buck-toothed..."" ""...old mummy... with bony girl arms and you smell like an elephant's butt!"""
C. Montgomery Burns,"I could crush him like an ant, but it would be too easy. No, revenge is a dish best served cold. I'll bide my time until... Oh, what the hell. I'll just crush him like an ant."
C. Montgomery Burns,"""Senile,"" eh? ""Buck-toothed,"" am I? ""Bony arms,"" are they? ""Liver spots,"" did I? ""Chinless,"" will you?"
C. Montgomery Burns,"Now, that's odd. I've just robbed a man of his livelihood, and yet I feel strangely empty. Tell you what, Smithers. Have him beaten to a pulp."
C. Montgomery Burns,"In closing, gentle reader, I'd like to thank you. What's that you say? Me thanking you? No, it's not a misprint. For you see, I enjoyed writing this book as much as you enjoyed reading it. The end."
C. Montgomery Burns,"No need, Smithers. As usual, you've been the sober ""ying"" to my raging ""yang."" Put 'er there, old pal."
C. Montgomery Burns,"We'll get the Simpsons a present, an extravagant present! A mad, unthinkable, utterly impossible present! A frabulous, grabulous, zip-zoop-zabulous present!"
C. Montgomery Burns,A pool table? Are you mad? I'm not gonna turn his home into a saloon.
C. Montgomery Burns,Don't you dare sully this moment with your price taggery! It's perfect!
C. Montgomery Burns,"Why, what did you think I was going to do -- have you beaten to a bloody pulp?"
C. Montgomery Burns,"To show there's no hard feelings, please take an advance copy of my book, ""Will There Ever Be A Rainbow?"" And now, young fellow, I haven't forgotten you. Here."
C. Montgomery Burns,"Actually, son, it's a big, ugly Olmec Indian head. It was carved by Meso-American Indians over 3,000 years ago. This gruesome customer is Xt'tapalatakettle, the god of war."
C. Montgomery Burns,"Well, I'll let you get acquainted with Se̱or Xt'tapalatakettle. Ta!"
C. Montgomery Burns,"Wait a minute, go back. Zoom in. Why is that man in pink?"
C. Montgomery Burns,"Simpson, eh? Well, judging by his outlandish attire, he's some sort of free-thinking anarchist."
C. Montgomery Burns,Spare me the tired semantics of the Simpson family! Take him away!
C. Montgomery Burns,"Or perhaps you two are in cahoots. Smithers, I seem to recall you had a penchant for bell-bottom trousers back in '79."
C. Montgomery Burns,"Oh, yes, of course. Your spirited hornpipe stole the show, as I recall. Now Doctor, what shall we do about our free wheeling fop over here?"
C. Montgomery Burns,"Simpson, eh? How very strange. His job description clearly specifies an illiterate."
C. Montgomery Burns,"Ah! Look, Smithers, another member of our nuclear family, with some helpful suggestions. And what's your name?"
