raw_character_text,spoken_words
Moe Szyslak,"Hold on, I'll check. Mike Rotch. Mike Rotch. Hey, has anybody seen Mike Rotch, lately?"
Moe Szyslak,"Listen you little puke. One of these days I'm gonna catch you, and I'm gonna carve my name on your back with an ice pick."
Moe Szyslak,"What's the matter, Homer? The depressin' effects of alcohol usually don't kick in 'til closing time."
Moe Szyslak,"Moe's Tavern. Hold on, I'll check. ... Hey everybody! I'm a stupid moron with an ugly face and a big butt, and my butt smells, and I like to kiss my own butt."
Moe Szyslak,"Come on, Jer. Open up. Be a pal. Remember when I pulled you and your wife out of that burning car?"
Moe Szyslak,"Ah, business is slow. People today are healthier and drinking less. You know, if it wasn't for the Junior High school next door no one would even use the cigarette machine."
Moe Szyslak,Increased job satisfaction and family togetherness are poison for a purveyor of mind-numbing intoxicants like myself.
Moe Szyslak,"Yeah, I know, I got behind on my beer payments. The distributor cut me off and I spent my last ten grand on the ""Love Tester""."
Moe Szyslak,"Moe! It's called a ""Flaming Moe""! That's right, a ""Flaming Moe"". My name is Moe, and I invented it. That's why it's called a Flaming Moe. What? What are you lookin' at, Homer? It's a Flaming Moe I'm Moe."
Moe Szyslak,"Oh great! Why don't we fill out an application? I'll need your name, measurements and turn ons.."
Moe Szyslak,"No dice. The ""Flaming Moe"" is not for sale. Do you know how much of my blood and sweat are in this drink?"
Moe Szyslak,"Ladies and gentlemen, some new buddies of mine stopped by tonight. Maybe we can get 'em to come up here. How about a warm ""Flaming Moe's"" welcome for Aerosmith!"
Moe Szyslak,"Well, it's hard to say. He may have come up with the recipe, but I came up with the idea of charging six ninety-five for it."
Moe Szyslak,"Hold on. I'll check. Hugh Jass, Oh, somebody check the men's room for a Hugh Jass."
Moe Szyslak,"Alright, alright. I'll split the million with Homer. Jeepers, Mary and Joseph. I sleep with a chick once, it costs me a half a million bananas."
Moe Szyslak,"Ah, she left to pursue a movie career. Frankly I think she was better off here."
Moe Szyslak,"Ah, yeah. Just a minute, I'll check. Uh, Bee O'Problem. Bee O'Problem. C'mon, guys. Do I have an O'Problem here?"
Moe Szyslak,"Listen you, when I get a hold of you, I'm gonna use your head for a bucket and paint my house with your brains!"
Moe Szyslak,Bet you get into all kinds of trouble he don't even know about. Am I right? Huh? Am I right?
Moe Szyslak,"That's great! Hey, would you sing that old song you used to sing for me?"
Moe Szyslak,"I think I can provide that service. Um, uh, Chief Wiggum, could you hand me that little black book?"
Moe Szyslak,"Gotcha, fifty beans on Miami. Um, Homer, I got a call on the other line. Hello?"
Moe Szyslak,"Sorry, Homer, you can't take any more of my money. I'm, uh, outta the bookie business."
Moe Szyslak,Fudd? I thought they took that off the market after all those hillbillies went blind.
Moe Szyslak,"Hey, just a sec, I'll check. Amanda Huggenkiss! Hey, I'm looking for Amanda Huggenkiss! Why can't I find Amanda Huggenkiss!"
Moe Szyslak,"You little S.O.B., if I ever find out who you are I'm gonna shove a sausage down your throat and stick starving dogs in your butt!"
Moe Szyslak,"I wasn't really gonna kill ya'. I was just gonna cut ya! Aah, forget it. Ouch, I better go check on Barney."
