raw_character_text,spoken_words
Seymour Skinner,"Don't worry, Bart, we'll find something fun for you to do."
Seymour Skinner,Ah! Here we are! Here's a whole box of unsealed envelopes for the PTA.
Seymour Skinner,"Oh, licking envelopes can be fun! All you have to do is make a game of it."
Seymour Skinner,"Well... for example... you could see how many you can lick in an hour, and then try to break that record."
Seymour Skinner,"You didn't believe me when I said it would be fun, did you?"
Seymour Skinner,"Hmm... Well there's still a minute to go... oh, why not! But don't you tell your teacher I let you go home early."
Seymour Skinner,I don't have an appointment with any large men --
Seymour Skinner,"I'm PRINCIPAL Skinner, yes. And how, may I ask, did you get past the hall monitors?"
Seymour Skinner,"I suppose you're all wondering where I've been. It all started a week ago. I was at my desk, revising and updating the school dress codes, when..."
Seymour Skinner,I was suddenly confronted by a gang of toughs acting on behalf of one Bart Simpson. Or so they said.
Seymour Skinner,To get my mind off that ugly confrontation I went home and began bundling my old newspapers. But suddenly the pile fell. I was trapped. Let this be a lesson to recycle frequently.
Seymour Skinner,"For the next week I stayed alive by eating my mother's delicious preserves and maintained my sanity by dribbling a nearby basketball with my one free hand. I made a game of it, seeing how many times I could bounce the ball in a day, then trying to break that record. Occasionally the police arrived to search my home."
Seymour Skinner,"I shouted until I was hoarse, but they couldn't hear me."
Seymour Skinner,"Finally I realized if I was ever going to get out of there, I would have to do it myself."
Seymour Skinner,"I formed a crude rocket from a discarded cigar tube. And remembering an experiment from my days as a fourth grade science teacher, I concocted a fuel from baking soda and the juice of discarded lemon wedges."
Seymour Skinner,"The rocket took off with a mighty blast of carbon dioxide, dragging behind it the end of a vacuum cleaner cord."
Seymour Skinner,"I grabbed on to the vacuum cleaner, pushed the cord retractor button and was on my way to freedom."
Seymour Skinner,They called me old-fashioned for teaching the duck and cover. But who's laughing now?
Seymour Skinner,"Your attention please. This is Principal Skinner. Bart, this one's for you. Hello ma baby, hello ma honey, hello my ragtime gal... Send me a kiss by wire.."
Seymour Skinner,"One... more... time! HELLO MA BABY... HELLO MA HONEY... HELLO MY RAGTIME GAL. DOUBLETIME, NOW. SEND ME A KISS BY WIRE..."
Seymour Skinner,"Well, you're in for a whale of a show tonight. I'd like to point out that the doors are now locked, so you parents can't sneak out of the show after your own child has performed. Oh, and let me caution the people in the first five rows, you will get wet."
Seymour Skinner,"Oh well, make sure you return those chairs to the cafeteria, Kim. I'm not kidding."
