topic,rank,word,tfidf
COM,1,people,0.1850281135880088
COM,2,children,0.14540531870431025
COM,3,place,0.13877108519100662
COM,4,tree,0.1302697819718841
COM,5,thank,0.1294573392066623
COM,6,welcome,0.11632425496344821
COM,7,media,0.11241213334480123
COM,8,poor,0.11241213334480123
COM,9,kid,0.11241213334480123
COM,10,state,0.11241213334480123
CON,1,school,0.15465500214194813
CON,2,potato,0.14821483743754243
CON,3,shot,0.14821483743754243
CON,4,crime,0.14821483743754243
CON,5,prison,0.12789724383896647
CON,6,boy,0.12407650501191111
CON,7,alive,0.11213769389167177
CON,8,murder,0.11116112807815683
CON,9,diddily,0.11046785867282011
CON,10,happened,0.09592293287922485
ECO,1,money,0.3422498586257829
ECO,2,oil,0.2235802708985681
ECO,3,buy,0.19293142926224488
ECO,4,pay,0.19293142926224488
ECO,5,school,0.152356036341595
ECO,6,leave,0.14499286351604826
ECO,7,business,0.12834369698466858
ECO,8,budget,0.1277601547991818
ECO,9,store,0.12082738626337354
ECO,10,dollars,0.12082738626337354
FAM,1,mother,0.35922370978825996
FAM,2,rod,0.30123175866288077
FAM,3,boys,0.1960993867750373
FAM,4,family,0.17932303955367324
FAM,5,kids,0.11974123659608664
FAM,6,room,0.11552812976930577
FAM,7,dad,0.10041058622096026
FAM,8,marriage,0.10041058622096026
FAM,9,night,0.0997843638300722
FAM,10,son,0.0997843638300722
LEI,1,sing,0.22461916564984244
LEI,2,ball,0.1615232584936552
LEI,3,spare,0.1497461104332283
LEI,4,game,0.1416202974643652
LEI,5,thank,0.13393098113632418
LEI,6,film,0.12535839422630157
LEI,7,called,0.11329623797149216
LEI,8,groundskeeper,0.11230958282492122
LEI,9,nickel,0.11230958282492122
LEI,10,thought,0.11160915094693682
PER,1,bat,0.1711590180742722
PER,2,diddily,0.1275686735963597
PER,3,wrong,0.1275686735963597
PER,4,thank,0.1275686735963597
PER,5,heart,0.1275686735963597
PER,6,home,0.114627189186105
PER,7,women,0.114627189186105
PER,8,principal,0.11077214188715082
PER,9,male,0.11077214188715082
PER,10,clothes,0.11077214188715082
REL,1,lord,0.32392118584787233
REL,2,god,0.30169236732784505
REL,3,bible,0.2686867316469226
REL,4,church,0.1946062277093234
REL,5,thank,0.16244973625345505
REL,6,wrong,0.16244973625345505
REL,7,said,0.1563960704945218
REL,8,holy,0.15568498216745869
REL,9,father,0.1343433658234613
REL,10,people,0.10365303831543812
WRK,1,school,0.3844883504868551
WRK,2,students,0.22558383925211356
WRK,3,children,0.18674761346131818
WRK,4,plant,0.18460148712684166
WRK,5,principal,0.16542814878488327
WRK,6,grade,0.13535030355126812
WRK,7,morning,0.13185820509060117
WRK,8,work,0.12469892448222326
WRK,9,elementary,0.12031138093446056
WRK,10,welcome,0.11671725841332387
